bioKey,target,note
amusing_mudcrab_1EB,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
aryni_sendu_9F7,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
athyn_releth_421,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
balgrumtz_6BC,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
bralys_sendu_9F8,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
byrama_davor_8EA,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
dalos_verendas_9DF,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
dralys_tyravel_0BC,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
erver_milo_B12,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
evos_mils_E16,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
felsa_morvayn_6DA,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
galsa_rendo_9EF,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
kuovin_nrezalf_B19,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
