bioKey,claimants,shippedIn
aenar_395,ETaC – Complete.esp | ETaC – Karthwasten.esp,ETaC – Complete.esp | ETaC – Karthwasten.esp
alday_8E0,ETaC – Complete.esp | ETaC – Dawnstar.esp,ETaC – Complete.esp | ETaC – Dawnstar.esp
alhildr_fair-wind_generic,ETaC - Complete.esp | ETaC - Dawnstar.esp,ETaC - Complete.esp | ETaC - Dawnstar.esp
amaya_generic,AmayaHPSSE.esp | AmayaLPSSE.esp,AmayaHPSSE.esp | AmayaLPSSE.esp
balag_jo_4EB,ETaC – Complete.esp | ETaC – Karthwasten.esp,ETaC – Complete.esp | ETaC – Karthwasten.esp
basil_827,ETaC – Complete.esp | ETaC – Riverwood.esp,ETaC – Complete.esp | ETaC – Riverwood.esp
bothilda_3F5,ETaC – Complete.esp | ETaC – Rorikstead.esp,ETaC – Complete.esp | ETaC – Rorikstead.esp
bowen_D46,ETaC – Complete.esp | ETaC – Dawnstar.esp,ETaC – Complete.esp | ETaC – Dawnstar.esp
braenn_generic,Azeneths Angels.esp | Braenn.esp,Azeneths Angels.esp | Braenn.esp
brandulf_578,ETaC – Complete.esp | ETaC – Riverwood.esp,ETaC – Complete.esp | ETaC – Riverwood.esp
caminda_A98,ETaC – Complete.esp | ETaC – Riverwood.esp,ETaC – Complete.esp | ETaC – Riverwood.esp
candariel_7C5,ETaC – Complete.esp | ETaC – Dawnstar.esp,ETaC – Complete.esp | ETaC – Dawnstar.esp
dynara_76C,ETaC – Complete.esp | ETaC – Riverwood.esp,ETaC – Complete.esp | ETaC – Riverwood.esp
elyse_generic,ElyseFollowerHP.esp | ElyseFollowerSE.esp,ElyseFollowerHP.esp | ElyseFollowerSE.esp
emelia_celata_1FE,ETaC – Complete.esp | ETaC – Karthwasten.esp,ETaC – Complete.esp | ETaC – Karthwasten.esp
erarik_0AB,ETaC – Complete.esp | ETaC – Kynesgrove.esp,ETaC – Complete.esp | ETaC – Kynesgrove.esp
frieda_AA7,ETaC – Complete.esp | ETaC – Dawnstar.esp,ETaC – Complete.esp | ETaC – Dawnstar.esp
gianna_petrus_D4D,ETaC – Complete.esp | ETaC – Dawnstar.esp,ETaC – Complete.esp | ETaC – Dawnstar.esp
