slug,bioCount,pluginFiles
3dnpc,256,3DNPC.esp
bsheartland,109,BSHeartland.esm
inconsequential-npcs,78,Inconsequential NPCs.esp
lotspaidmercs,75,LotsPaidMercs.esp
immersive-wenches,71,Immersive Wenches.esp
obis-se,69,OBIS SE.esp
etac-complete,50,ETaC – Complete.esp | ETaC - Complete.esp
becomekingofskyrimtng,46,BecomeKingofSkyrimTNG.esp
legacyofthedragonborn,42,LegacyoftheDragonborn.esm
br0sbeastracesofskyrimcompilationv3,41,br0sBeastRacesOfSkyrimCompilationV3.esp
project-aho,35,Project AHO.esm
winterhold-restored,32,Winterhold Restored.esp
1b04extranpcs,30,1B04ExtraNPCs.esp
solitude-docks,27,Solitude Docks.esp
harem-volume-iv,26,Harem Volume IV.esp
traveling-merchant-caravans,21,Traveling Merchant Caravans.esp
annanpcs,20,AnnaNPCs.esp
chronicon-follower-pack-i,20,Chronicon Follower Pack I.esp
harem-volume-3,20,Harem - Volume 3.esp
dawn-of-skyrim,19,Dawn of Skyrim.esp
fantasystylefollowers,19,fantasystylefollowers.esp
etac-dawnstar,18,ETaC – Dawnstar.esp | ETaC - Dawnstar.esp
harem-2-aio-armored,18,Harem 2 AIO Armored.esp
trustyhpfollowerpack,17,TrustyHPFollowerPack.esp
wanderingskyrim,17,wanderingskyrim.esp
harem,15,Harem.esp
mayatola-unique-followers-aio,13,Mayatola Unique Followers AIO.esp
campvarglya,12,CampVarglya.esp
cutting-room-floor,12,cutting room floor.esp
girlsjv,12,GirlsJV.esp
immersive-followers,12,Immersive Followers.esp
chronicon-follower-pack-ii,11,Chronicon Follower Pack II.esp
etac-riverwood,11,ETaC – Riverwood.esp | ETaC - Riverwood.esp
naughty-girls-of-tamriel-sse-aio,11,Naughty Girls of Tamriel SSE AIO.esp
campnewzainab,10,CampNewZainab.esp
helgen-reborn,9,Helgen Reborn.esp
icns-immersivecollegenpcs,9,ICNs_ImmersiveCollegeNPCs.esp
immersive-encounters,9,Immersive Encounters.esp
kuronefollowers,9,KuroneFollowers.esp
aymarandfriends,8,Aymarandfriends.esp
cfto,8,CFTO.esp
environs-abandoned-abodes,8,Environs - Abandoned Abodes.esp
etac-karthwasten,8,ETaC – Karthwasten.esp
pan-followerpack1,8,PAN_FollowerPack1.esp
sr-elf-followers,8,SR Elf Followers.esp
etac-morthal,7,ETaC – Morthal.esp
asharaerinfollower,6,AsharaErinFollower.esp
jokerineargoniansettlement,6,JokerineArgonianSettlement.esp
mistborn,6,Mistborn.esp
nyrified-akavir-followers,6,Nyrified Akavir - Followers.esp
ocw-obscure-s-collegeofwinterhold,6,OCW_Obscure's_CollegeofWinterhold.esp
wanderingfollowers1-1,6,WanderingFollowers1.1.esp
ffnords,5,FFNords.esp
moonandstar-mas,5,MoonAndStar_MAS.esp
wheelsoflull,5,WheelsOfLull.esp
battlebrothers,4,BattleBrothers.esp
floatingswordfollower,4,FloatingSwordFollower.esp
follower-fever,4,Follower Fever.esp
hammetdungeon01,4,HammetDungeon01.esm
miqo-te-follower,4,Miqo'te Follower.esp
